evy,python
"// Given a positive integer n, return the total sum of its digits in binary.
// solve 1000 // ""1""
// solve 150 // ""110""
// solve 147 // ""1100""
func solve:string n:num
    sum := 0
    while n > 0
        sum = sum + n % 10
        n = floor n/10
    end
    result := """"
    while sum > 0
        result = (sprint sum%2) + result
        sum = floor sum/2
    end
    return result
end

func test
    assert ""1"" (solve 1000)
    assert ""110"" (solve 150)
    assert ""1100"" (solve 147)
    assert ""1001"" (solve 333)
    assert ""10010"" (solve 963)
end



func printResult
    printf ""%2.f of %2.f tests passed\n"" (total - fails) total
end

test
printResult
","Can you convert this python to evy for me?
```python

def solve(N):
    """"""Given a positive integer N, return the total sum of its digits in binary.
    
    Example
        For N = 1000, the sum of digits will be 1 the output should be ""1"".
        For N = 150, the sum of digits will be 6 the output should be ""110"".
        For N = 147, the sum of digits will be 12 the output should be ""1100"".
    
    Variables:
        @N integer
             Constraints: 0 ≤ N ≤ 10000.
    Output:
         a string of binary number
    """"""

    return bin(sum(int(i) for i in str(N)))[2:]

def check(candidate):

    # Check some simple cases
    assert True, ""This prints if this assert fails 1 (good for debugging!)""
    assert candidate(1000) == ""1"", ""Error""
    assert candidate(150) == ""110"", ""Error""
    assert candidate(147) == ""1100"", ""Error""

    # Check some edge cases that are easy to work out by hand.
    assert True, ""This prints if this assert fails 2 (also good for debugging!)""
    assert candidate(333) == ""1001"", ""Error""
    assert candidate(963) == ""10010"", ""Error""


check(solve)

```"
"// Return median of elements in the list l.
// median [3 1 2 4 5] // 3
// median [-10 4 6 1000 10 20] // 15.0
func median:num nums:[]num
    length := len nums
    if length == 0
        return -1
    end
    result := nums[:]
    sort result
    if length % 2 == 1
        return result[floor length/2]
    else
        return (result[length / 2 - 1] + result[length / 2]) / 2
    end
end

func sort arr:[]num
    // bubble sort
    for endIdx := range (len arr)-1 0 -1
        for i := range endIdx
            if arr[i] > arr[i + 1]
                tmp := arr[i]
                arr[i] = arr[i + 1]
                arr[i + 1] = tmp
            end
        end
    end
end

func test
    assert 3 (median [3 1 2 4 5])
    assert 8 (median [-10 4 6 1000 10 20])
    assert 5 (median [5])
    assert 5.5 (median [6 5])
    assert 7 (median [8 1 3 9 9 2 7])
end


","Can you convert this python to evy for me?
```python


def median(l: list):
    """"""Return median of elements in the list l.
    >>> median([3, 1, 2, 4, 5])
    3
    >>> median([-10, 4, 6, 1000, 10, 20])
    15.0
    """"""

    l = sorted(l)
    if len(l) % 2 == 1:
        return l[len(l) // 2]
    else:
        return (l[len(l) // 2 - 1] + l[len(l) // 2]) / 2.0



METADATA = {}


def check(candidate):
    assert candidate([3, 1, 2, 4, 5]) == 3
    assert candidate([-10, 4, 6, 1000, 10, 20]) == 8.0
    assert candidate([5]) == 5
    assert candidate([6, 5]) == 5.5
    assert candidate([8, 1, 3, 9, 9, 2, 7]) == 7 


check(median)

```"
"// Add two numbers x and y
// add 2 3 // 5
// add 5 7 // 12
func add:num x:num y:num
    return x + y
end

func test
    assert 1 (add 0 1)
    assert 1 (add 1 0)
    assert 5 (add 2 3)
    assert 12 (add 5 7)
    assert 12 (add 7 5)
end


","Can you convert this python to evy for me?
```python


def add(x: int, y: int):
    """"""Add two numbers x and y
    >>> add(2, 3)
    5
    >>> add(5, 7)
    12
    """"""

    return x + y



METADATA = {}


def check(candidate):
    import random

    assert candidate(0, 1) == 1
    assert candidate(1, 0) == 1
    assert candidate(2, 3) == 5
    assert candidate(5, 7) == 12
    assert candidate(7, 5) == 12

    for i in range(100):
        x, y = random.randint(0, 1000), random.randint(0, 1000)
        assert candidate(x, y) == x + y


check(add)

```"
"// Return true if all numbers in the list l are below threshold t.
// below [1 2 4 10] 100// true
// below [1 20 4 10] 5 // false
func below:bool nums:[]num t:num
    for n := range nums
        if n >= t
            return false
        end
    end
    return true
end

func test
    assert true==(below [1 2 4 10] 100)
    assert false==(below [1 20 4 10] 5)
    assert true==(below [1 20 4 10] 21)
    assert true==(below [1 20 4 10] 22)
    assert true==(below [1 8 4 10] 11)
    assert false==(below [1 8 4 10] 10)
end


","Can you convert this python to evy for me?
```python


def below_threshold(l: list, t: int):
    """"""Return True if all numbers in the list l are below threshold t.
    >>> below_threshold([1, 2, 4, 10], 100)
    True
    >>> below_threshold([1, 20, 4, 10], 5)
    False
    """"""

    for e in l:
        if e >= t:
            return False
    return True



METADATA = {}


def check(candidate):
    assert candidate([1, 2, 4, 10], 100)
    assert not candidate([1, 20, 4, 10], 5)
    assert candidate([1, 20, 4, 10], 21)
    assert candidate([1, 20, 4, 10], 22)
    assert candidate([1, 8, 4, 10], 11)
    assert not candidate([1, 8, 4, 10], 10)


check(below_threshold)

```"
"// The Fib4 number sequence is a sequence similar to the Fibonacci sequence that's defined as follows:
//    fib4(0) -> 0
//    fib4(1) -> 0
//    fib4(2) -> 2
//    fib4(3) -> 0
//    fib4(n) -> fib4(n-1) + fib4(n-2) + fib4(n-3) + fib4(n-4).
//    Please write a function to efficiently compute the n-th element of the fib4 number sequence.  Do not use recursion.
//    fib4 5 // 4
//    fib4 6 // 8
//    fib4 7 // 14
func fib4:num n:num
    result := [0 0 2 0]
    if n < 4
        return result[n]
    end
    for range n-3
        result = result + [result[-1]+result[-2]+result[-3]+result[-4]]
    end
    return result[-1]
end

func test
    assert 4 (fib4 5)
    assert 28 (fib4 8)
    assert 104 (fib4 10)
    assert 386 (fib4 12)
end


","Can you convert this python to evy for me?
```python


def fib4(n: int):
    """"""The Fib4 number sequence is a sequence similar to the Fibbonacci sequnece that's defined as follows:
    fib4(0) -> 0
    fib4(1) -> 0
    fib4(2) -> 2
    fib4(3) -> 0
    fib4(n) -> fib4(n-1) + fib4(n-2) + fib4(n-3) + fib4(n-4).
    Please write a function to efficiently compute the n-th element of the fib4 number sequence.  Do not use recursion.
    >>> fib4(5)
    4
    >>> fib4(6)
    8
    >>> fib4(7)
    14
    """"""

    results = [0, 0, 2, 0]
    if n < 4:
        return results[n]

    for _ in range(4, n + 1):
        results.append(results[-1] + results[-2] + results[-3] + results[-4])
        results.pop(0)

    return results[-1]



METADATA = {}


def check(candidate):
    assert candidate(5) == 4
    assert candidate(8) == 28
    assert candidate(10) == 104
    assert candidate(12) == 386


check(fib4)

```"
"//  Given a non-empty list of numbers add the even elements that are at odd indices.
//  add [4 2 6 7]  // 2
func add:num nums:[]num
    result := 0
    for i := range 1 (len nums) 2
        if nums[i] % 2 == 0
            result = result + nums[i]
        end
    end
    return result
end

func test
    assert 88 (add [4 88])
    assert 122 (add [4 5 6 7 2 122])
    assert 0 (add [4 0 6 7])
    assert 12 (add [4 4 6 8])
end



func printResult
    printf ""%2.f of %2.f tests passed\n"" (total - fails) total
end

test
printResult
","Can you convert this python to evy for me?
```python

def add(lst):
    """"""Given a non-empty list of integers lst. add the even elements that are at odd indices..


    Examples:
        add([4, 2, 6, 7]) ==> 2 
    """"""

    return sum([lst[i] for i in range(1, len(lst), 2) if lst[i]%2 == 0])

def check(candidate):

    # Check some simple cases
    assert candidate([4, 88]) == 88
    assert candidate([4, 5, 6, 7, 2, 122]) == 122
    assert candidate([4, 0, 6, 7]) == 0
    assert candidate([4, 4, 6, 8]) == 12

    # Check some edge cases that are easy to work out by hand.
    

check(add)

```"
"//  You are given a 2 dimensional data set  as a nested lists, which is
//  similar to a matrix, however, unlike matrices, each row may contain a
//  different number of columns. Given lst, and integer x, find integers x in
//  the list, and return list of tuples, [ x1, y1 ,  x2, y2  ...] such that
//  each tuple is a coordinate -  row, columns , starting with 0. Sort
//  coordinates initially by rows in ascending order. Also, sort coordinates
//  of the row by columns in descending order.
//
//  Examples:
//  coords [
//    [1 2 3 4 5 6]
//    [1 2 3 4 1 6]
//    [1 2 3 4 5 1]
//  ] 1 == [0 0 1 4 1 0 2 5 2 0]
//  coords []  1  == []
//  coords [[]  [1]  [1  2  3]]  3  == [ 2  2 ]
func coords:[]num m:[][]num n:num
    result:[]num
    for i := range (len m)
        row := m[i]
        for j := range (len row)-1 -1 -1
            if row[j] == n
                result = result + [i j]
            end
        end
    end
    return result
end

func test
    assert [[0 0] [1 4] [1 0] [2 5] [2 0]] (coords [[1 2 3 4 5 6] [1 2 3 4 1 6] [1 2 3 4 5 1]] 1)
    assert [[0 1] [1 1] [2 1] [3 1] [4 1] [5 1]] (coords [[1 2 3 4 5 6] [1 2 3 4 5 6] [1 2 3 4 5 6] [1 2 3 4 5 6] [1 2 3 4 5 6] [1 2 3 4 5 6]] 2)
    assert [[0 0] [1 0] [2 1] [2 0] [3 2] [3 0] [4 3] [4 0] [5 4] [5 0] [6 5] [6 0]] (coords [[1 2 3 4 5 6] [1 2 3 4 5 6] [1 1 3 4 5 6] [1 2 1 4 5 6] [1 2 3 1 5 6] [1 2 3 4 1 6] [1 2 3 4 5 1]] 1)
    assert [] (coords [] 1)
    assert [] (coords [[1]] 2)
    assert [[2 2]] (coords [[] [1] [1 2 3]] 3)
end



func printResult
    printf ""%2.f of %2.f tests passed\n"" (total - fails) total
end

test
printResult
","Can you convert this python to evy for me?
```python

def get_row(lst, x):
    """"""
    You are given a 2 dimensional data, as a nested lists,
    which is similar to matrix, however, unlike matrices,
    each row may contain a different number of columns.
    Given lst, and integer x, find integers x in the list,
    and return list of tuples, [(x1, y1), (x2, y2) ...] such that
    each tuple is a coordinate - (row, columns), starting with 0.
    Sort coordinates initially by rows in ascending order.
    Also, sort coordinates of the row by columns in descending order.
    
    Examples:
    get_row([
      [1,2,3,4,5,6],
      [1,2,3,4,1,6],
      [1,2,3,4,5,1]
    ], 1) == [(0, 0), (1, 4), (1, 0), (2, 5), (2, 0)]
    get_row([], 1) == []
    get_row([[], [1], [1, 2, 3]], 3) == [(2, 2)]
    """"""

    coords = [(i, j) for i in range(len(lst)) for j in range(len(lst[i])) if lst[i][j] == x]
    return sorted(sorted(coords, key=lambda x: x[1], reverse=True), key=lambda x: x[0])

def check(candidate):

    # Check some simple cases
    assert candidate([
        [1,2,3,4,5,6],
        [1,2,3,4,1,6],
        [1,2,3,4,5,1]
    ], 1) == [(0, 0), (1, 4), (1, 0), (2, 5), (2, 0)]
    assert candidate([
        [1,2,3,4,5,6],
        [1,2,3,4,5,6],
        [1,2,3,4,5,6],
        [1,2,3,4,5,6],
        [1,2,3,4,5,6],
        [1,2,3,4,5,6]
    ], 2) == [(0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1)]
    assert candidate([
        [1,2,3,4,5,6],
        [1,2,3,4,5,6],
        [1,1,3,4,5,6],
        [1,2,1,4,5,6],
        [1,2,3,1,5,6],
        [1,2,3,4,1,6],
        [1,2,3,4,5,1]
    ], 1) == [(0, 0), (1, 0), (2, 1), (2, 0), (3, 2), (3, 0), (4, 3), (4, 0), (5, 4), (5, 0), (6, 5), (6, 0)]
    assert candidate([], 1) == []
    assert candidate([[1]], 2) == []
    assert candidate([[], [1], [1, 2, 3]], 3) == [(2, 2)]

    # Check some edge cases that are easy to work out by hand.
    assert True


check(get_row)

```"
"// You have been tasked to write a function that receives
// a hexadecimal number as a string and counts the number of hexadecimal
// digits that are primes (prime number, or a prime, is a natural number
// greater than 1 that is not a product of two smaller natural numbers).
// Hexadecimal digits are 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, A, B, C, D, E, F.
// Prime numbers are 2, 3, 5, 7, 11, 13, 17,...
// So you have to determine a number of the following digits: 2, 3, 5, 7,
// B (=decimal 11), D (=decimal 13).
// Note: you may assume the input is always correct or empty string,
// and symbols A,B,C,D,E,F are always uppercase.
// Examples:
// hexprimes ""AB"" // 1
// hexprimes ""1077E"" // 2
// hexprimes ""ABED1A33"" // 4
// hexprimes ""123456789ABCDEF0"" // 6
// hexprimes ""2020"" // 2
func hexprimes:num str:string
    primes := {}
    for p := range ""2357BD""
        primes[p] = true
    end
    result := 0
    for ch := range str
        if (has primes ch)
            result = result + 1
        end
    end
    return result
end

func test
    assert 1 (hexprimes ""AB"")
    assert 2 (hexprimes ""1077E"")
    assert 4 (hexprimes ""ABED1A33"")
    assert 2 (hexprimes ""2020"")
    assert 6 (hexprimes ""123456789ABCDEF0"")
    assert 12 (hexprimes ""112233445566778899AABBCCDDEEFF00"")
    assert 0 (hexprimes """")
end


","Can you convert this python to evy for me?
```python

def hex_key(num):
    """"""You have been tasked to write a function that receives 
    a hexadecimal number as a string and counts the number of hexadecimal 
    digits that are primes (prime number, or a prime, is a natural number 
    greater than 1 that is not a product of two smaller natural numbers).
    Hexadecimal digits are 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, A, B, C, D, E, F.
    Prime numbers are 2, 3, 5, 7, 11, 13, 17,...
    So you have to determine a number of the following digits: 2, 3, 5, 7, 
    B (=decimal 11), D (=decimal 13).
    Note: you may assume the input is always correct or empty string, 
    and symbols A,B,C,D,E,F are always uppercase.
    Examples:
    For num = ""AB"" the output should be 1.
    For num = ""1077E"" the output should be 2.
    For num = ""ABED1A33"" the output should be 4.
    For num = ""123456789ABCDEF0"" the output should be 6.
    For num = ""2020"" the output should be 2.
    """"""

    primes = ('2', '3', '5', '7', 'B', 'D')
    total = 0
    for i in range(0, len(num)):
        if num[i] in primes:
            total += 1
    return total

def check(candidate):

    # Check some simple cases
    assert candidate(""AB"") == 1, ""First test error: "" + str(candidate(""AB""))      
    assert candidate(""1077E"") == 2, ""Second test error: "" + str(candidate(""1077E""))  
    assert candidate(""ABED1A33"") == 4, ""Third test error: "" + str(candidate(""ABED1A33""))      
    assert candidate(""2020"") == 2, ""Fourth test error: "" + str(candidate(""2020""))  
    assert candidate(""123456789ABCDEF0"") == 6, ""Fifth test error: "" + str(candidate(""123456789ABCDEF0""))      
    assert candidate(""112233445566778899AABBCCDDEEFF00"") == 12, ""Sixth test error: "" + str(candidate(""112233445566778899AABBCCDDEEFF00""))  


    # Check some edge cases that are easy to work out by hand.
    assert candidate([]) == 0


check(hex_key)

```"
"abc := ""abcdefghijklmnopqrstuvwxyz""
ord := {a:0 b:1 c:2 d:3 e:4 f:5 g:6 h:7 i:8 j:9 k:10 l:11 m:12 n:13 o:14 p:15 q:16 r:17 s:18 t:19 u:20 v:21 w:22 x:23 y:24 z:25}

// encode returns encoded string by shifting every character by 5 in the
// alphabet. Message is all lowercase ascii.
func encode:string str:string
    result := """"
    for ch := range str
        result = result + abc[(ord[ch] + 5) % 26]
    end
    return result
end

// decode takes as input string encoded with encode_shift function. Returns
// decoded string.
func decode:string str:string
    result := """"
    for ch := range str
        result = result + abc[(ord[ch] + 21) % 26]
    end
    return result
end

func test
    assert """" (encode """")
    assert """" (decode """")
    assert ""fg"" (encode ""ab"")
    assert ""ab"" (decode ""fg"")
    assert abc (decode (encode abc))
end


","Can you convert this python to evy for me?
```python


def encode_shift(s: str):
    """"""
    returns encoded string by shifting every character by 5 in the alphabet.
    """"""
    return """".join([chr(((ord(ch) + 5 - ord(""a"")) % 26) + ord(""a"")) for ch in s])


def decode_shift(s: str):
    """"""
    takes as input string encoded with encode_shift function. Returns decoded string.
    """"""

    return """".join([chr(((ord(ch) - 5 - ord(""a"")) % 26) + ord(""a"")) for ch in s])



METADATA = {}


def check(candidate):
    from random import randint, choice
    import copy
    import string

    letters = string.ascii_lowercase
    for _ in range(100):
        str = ''.join(choice(letters) for i in range(randint(10, 20)))
        encoded_str = encode_shift(str)
        assert candidate(copy.deepcopy(encoded_str)) == str


check(decode_shift)

```"
"// Change numerical base of input number x to base.
// return string representation after the conversion.
// base numbers are less than 10.
// convertBase 8 3 // ""22""
// convertBase 8 2 // ""1000""
// convertBase 7 2 // ""111""
func convertBase:string n:num base:num
    if n == 0
        return ""0""
    end
    result := """"
    while n > 0
        result = (sprint n%base) + result
        n = floor n/base
    end
    return result
end

func test
    assert ""22"" (convertBase 8 3)
    assert ""100"" (convertBase 9 3)
    assert ""11101010"" (convertBase 234 2)
    assert ""10000"" (convertBase 16 2)
    assert ""1000"" (convertBase 8 2)
    assert ""111"" (convertBase 7 2)
    for x := range 9
        assert (sprint x) (convertBase x x+1)
    end
end


","Can you convert this python to evy for me?
```python


def change_base(x: int, base: int):
    """"""Change numerical base of input number x to base.
    return string representation after the conversion.
    base numbers are less than 10.
    >>> change_base(8, 3)
    '22'
    >>> change_base(8, 2)
    '1000'
    >>> change_base(7, 2)
    '111'
    """"""

    ret = """"
    while x > 0:
        ret = str(x % base) + ret
        x //= base
    return ret



METADATA = {}


def check(candidate):
    assert candidate(8, 3) == ""22""
    assert candidate(9, 3) == ""100""
    assert candidate(234, 2) == ""11101010""
    assert candidate(16, 2) == ""10000""
    assert candidate(8, 2) == ""1000""
    assert candidate(7, 2) == ""111""
    for x in range(2, 8):
        assert candidate(x, x + 1) == str(x)


check(change_base)

```"
